,lat,lng,name,biz_id,address,type_class,type_name,type_custom,hours
0,55.721905,37.628441,Варакс,217948117485,"Россия, Москва, 1-й Щипковский переулок, 1",fitness,"Спортивный клуб, секция",sport,"пн,чт 20:00–22:00"
1,55.741542,37.656509,Герберг,10361606301,"Россия, Москва, Таганская улица, 1/2с2",restaurants,Ресторан,cafe,"пн-чт 12:00–00:00; пт,сб 12:00–02:00; вс 12:00–00:00"
2,55.704098,37.615884,Loft 17,1330525046,"Россия, Москва, Духовской переулок, 7/9, стр. 1",office service,Агентство недвижимости,services,"ежедневно, 09:00–21:00"
3,55.702853,37.49786,Comfort Beauty,175571644892,"Россия, Москва, улица Столетова, 19",spa,Салон красоты,beauty,"ежедневно, 10:00–22:00"
4,55.711082,37.593623,Nails Up,231231652827,"Россия, Москва, 2-й Донской проезд, 10, стр. 4",spa,Ногтевая студия,beauty,"ежедневно, 10:00–22:00"
5,55.708938,37.624643,Кофе с собой,4062232879,"Россия, Москва, Холодильный переулок, 3, стр. 2",cafe,Кофейня,cafe,"пн-пт 08:00–21:00; сб,вс 09:00–21:00"
6,55.675493,37.566365,Нотариус Булавинова А. П.,1122498771,"Россия, Москва, Нахимовский проспект, 47, корп. 1",office service,Нотариусы,services,пн-пт 10:00–18:00
7,55.723486,37.677463,Ночной каток Морозово,1164018151,"Россия, Москва, Новоостаповская улица, 5, стр. 2",skating rink,Каток,entertainment,сб 22:00–05:30
8,55.722679,37.627544,Додо Пицца,155681051597,"Россия, Москва, Большая Серпуховская улица, 31, корп. 11",restaurants,Пиццерия,cafe,"пн-пт 09:00–22:00; сб,вс 10:00–22:00"
9,55.727806,37.61416,Манхэттен Премиум Фитнес,174523270608,"Россия, Москва, Калужская площадь, 1, корп. 2",fitness,Фитнес-клуб,sport,"пн-пт 07:00–23:00; сб,вс 09:00–22:00"
10,55.72355,37.611344,Cesare Ponti,39319129318,"Россия, Москва, улица Шаболовка, 19",spa,Салон красоты,beauty,"ежедневно, 09:00–22:00"
11,55.738586,37.519665,Get Fit Gym,127917199337,"Россия, Москва, площадь Победы, 2В",fitness,"Спортивный, тренажёрный зал",sport,"пн-пт 07:00–23:00; сб,вс 09:00–21:00"
12,55.689617,37.562136,КМ-Клиник,1054532809,"Россия, Москва, улица Дмитрия Ульянова, 6, корп. 1",medicine,"Медцентр, клиника",medicine,пн-сб 09:00–20:00; вс 09:00–18:00
13,55.74222,37.616629,Sally O'Brien's,1099238703,"Россия, Москва, улица Большая Полянка, 1/3",bars,"Бар, паб",cafe,"ежедневно, 12:00–23:00"
14,55.700175,37.625543,Crop. coffee & smoothie bar,101022147404,"Россия, Москва, Варшавское шоссе, 9, стр. 1",cafe,Кофейня,cafe,пн-пт 08:00–19:30
15,55.683239,37.539482,Диджитал Бизнес,199514373465,"Россия, Москва, Ленинский проспект, 81",office service,Бизнес-консалтинг,business,пн-пт 09:00–20:00
16,55.721574,37.626987,SetteMila,149194526263,"Россия, Москва, Большая Серпуховская улица, 50/2с1",cafe,Кафе,cafe,"ежедневно, 10:00–22:00"
17,55.741465,37.540784,Нотариальная контора,1131983465,"Россия, Москва, Кутузовский проспект, 33",office service,Нотариусы,services,пн-пт 10:00–20:00
18,55.670021,37.55248,Century21 Юго-Запад,133186806692,"Россия, Москва, Профсоюзная улица, 56",office service,Агентство недвижимости,services,пн-пт 09:00–18:00
19,55.717259,37.666522,Кэнбу Кокоро,125838263085,"Россия, Москва, Новоостаповская улица, 4, корп. 2",fitness,"Спортивный клуб, секция",sport,"пн,пт 16:30–19:30"
20,55.751923,37.585925,Crystal Estate,1034294955,"Россия, Москва, улица Новый Арбат, 21",office service,Агентство недвижимости,services,"ежедневно, 10:00–20:00"
21,55.702994,37.506584,Look Beauty Lab,1546649587,"Россия, Москва, Мичуринский проспект, 16",spa,Салон красоты,beauty,"ежедневно, 10:00–22:00"
22,55.733575,37.619139,Персона Полянка,1805998113,"Россия, Москва, улица Большая Полянка, 30",spa,Салон красоты,beauty,"ежедневно, 10:00–22:00"
23,55.71661,37.551951,CrossFit19.05,211527876392,"Россия, Москва, улица Лужники, 24, стр. 1",fitness,Фитнес-клуб,sport,"пн-пт 07:00–23:00; сб,вс 09:00–21:00"
24,55.673664,37.567756,Алм Медицина,105245800988,"Россия, Москва, Новочерёмушкинская улица, 55к2",medicine,Диагностический центр,medicine,"пн-пт 08:00–20:00; сб,вс 09:00–19:00"
25,55.742534,37.595414,ГлавУпДК при МИД России,1078960224,"Россия, Москва, улица Пречистенка, 20",office service,Агентство недвижимости,services,пн-пт 09:00–18:00
26,55.719455,37.608275,Хлеб Насущный,114922227781,"Россия, Москва, улица Шаболовка, 30/12",confectionary,"Булочная, пекарня",cafe,"пн-пт 07:00–22:00; сб,вс 08:00–21:00"
27,55.690098,37.602714,Сиена,60149338344,"Россия, Москва, Большая Черёмушкинская улица, 1",spa,Салон красоты,beauty,"ежедневно, 10:00–22:00"
28,55.733942,37.627383,Nicepricecafe,83802292726,"Россия, Москва, Пятницкая улица, 54, стр. 2",cafe,Кафе,cafe,"пн-чт 11:00–00:00; пт,сб 11:00–06:00; вс 11:00–00:00"
29,55.694607,37.676131,Остров мечты,81953640011,"Россия, Москва, проспект Андропова, 1",malls,Торговый центр,entertainment,"ежедневно, 10:00–22:00"
30,55.699106,37.634721,Pride,26858262978,"Россия, Москва, улица Архитектора Щусева, 2, корп. 2",restaurants,Ресторан,cafe,пн-сб круглосуточно; вс 06:00–23:00
31,55.709487,37.586541,NailMaker Bar,140154556902,"Россия, Москва, Ленинский проспект, 37А",spa,Ногтевая студия,beauty,"ежедневно, 10:00–22:00"
32,55.708607,37.58667,Pilates Class,205777977682,"Россия, Москва, Ленинский проспект, 37А",fitness,Фитнес-клуб,sport,"пн-пт 10:00–22:00; сб,вс 10:00–18:00"
33,55.746522,37.581514,Вингс Принт,117988365075,"Россия, Москва, Смоленская улица, 6",printing services,Копировальный центр,services,"пн-пт 09:00–20:00; сб,вс 10:00–19:00"
34,55.738641,37.666172,Физкультурно-оздоровительный комплекс Парка Таганский,1209618403,"Россия, Москва, Таганская улица, 36, стр. 3",fitness,Спортивный комплекс,sport,"ежедневно, 07:00–23:00"
35,55.712119,37.658981,Спика,50533603658,"Россия, Москва, Восточная улица, 13",spa,Салон красоты,beauty,"ежедневно, 10:00–21:00"
36,55.730786,37.631424,Paradise,1058023675,"Россия, Москва, Валовая улица, 8/18",spa,Салон красоты,beauty,пн-сб 10:00–21:00; вс 10:00–19:00
37,55.710027,37.623834,Starbucks,1115997380,"Россия, Москва, Большая Тульская улица, 11",cafe,Кофейня,cafe,"ежедневно, 08:00–23:00"
38,55.729473,37.633317,Zoloto,212371597530,"Россия, Москва, улица Зацепа, 21, стр. 2",hairdressers,Парикмахерская,beauty,"ежедневно, 10:00–23:00"
39,55.748924,37.54294,Tapas Marbella,231882320353,"Россия, Москва, Пресненская набережная, 4, стр. 1",restaurants,Ресторан,cafe,пн-пт 12:00–22:00
40,55.716828,37.610367,ПомПон,1798711989,"Россия, Москва, улица Шухова, 18",spa,Салон красоты,beauty,"ежедневно, 10:00–21:00"
41,55.753205,37.585996,Zamute,5887839808,"Россия, Москва, улица Новый Арбат, 26",fitness,Фитнес-клуб,sport,"ежедневно, 09:00–21:00"
42,55.726647,37.576794,Сил Бьюти,74104992420,"Россия, Москва, Трубецкая улица, 28, стр. 1",spa,Салон красоты,beauty,"ежедневно, 10:00–22:00"
43,55.704808,37.597809,Mondial International Realty,127626684823,"Россия, Москва, 5-й Донской проезд, 21Б, стр. 10",office service,Агентство недвижимости,services,"ежедневно, круглосуточно"
44,55.695963,37.557999,Quick Beauty,195603337333,"Россия, Москва, Ленинский проспект, 60/2",spa,Салон красоты,beauty,"ежедневно, 10:00–21:00"
45,55.702769,37.651672,Московский центр Крав мага,169965605897,"Россия, Москва, Автозаводская улица, 21",fitness,"Спортивный клуб, секция",sport,"пн,ср,пт,вс 17:00–22:00"
46,55.670492,37.566266,Астория-бьюти,1106098446,"Россия, Москва, Новочерёмушкинская улица, 50",spa,Салон красоты,beauty,пн-сб 09:00–21:00; вс 10:00–21:00
47,55.673296,37.577685,Art'e,1177832385,"Россия, Москва, Нахимовский проспект, 28, корп. 1",spa,Салон красоты,beauty,"ежедневно, 10:00–21:00"
48,55.683169,37.548889,Триумфальный,1039804468,"Россия, Москва, улица Вавилова, 66",malls,Торговый центр,malls,"ежедневно, 10:00–21:00"
49,55.722824,37.635937,Камера Обскура Кофе,101077993684,"Россия, Москва, Дубининская улица, 68, стр. 3",cafe,Кофейня,cafe,пн-пт 08:00–20:00; сб 10:00–18:00
50,55.747289,37.655039,Таверна Дядя Геральт,245212423246,"Россия, Москва, улица Земляной Вал, 58",cafe,Кафе,cafe,"пн-чт 12:00–00:00; пт,сб 12:00–02:00; вс 12:00–00:00"
51,55.739144,37.661101,Mon Caprice,67226909993,"Россия, Москва, Таганская улица, 24, стр. 4",spa,Салон красоты,beauty,"ежедневно, круглосуточно"
52,55.728664,37.610594,Eurostate,1110168792,"Россия, Москва, Ленинский проспект, 2А",fallback services,Помощь в оформлении виз и загранпаспортов,services,пн-пт 09:00–19:00
53,55.73081,37.641852,Бизнес Старт,133311321323,"Россия, Москва, Кожевническая улица, 1, стр. 1",office service,Регистрация и ликвидация предприятий,business,пн-пт 09:00–18:00
54,55.725654,37.596171,Островок,1226038354,"Россия, Москва, улица Крымский Вал, 9, стр. 52",cafe,Кафе,cafe,"пн-пт 11:00–22:00; сб,вс 10:00–22:00"
55,55.687918,37.599956,Le Mari,1319373186,"Россия, Москва, Большая Черёмушкинская улица, 3, корп. 2",hairdressers,Парикмахерская,beauty,"ежедневно, 09:00–21:00"
56,55.724814,37.745221,Aquarium,35131238415,"Россия, Москва, 2-й Грайвороновский проезд, 42, корп. 4",cafe,Кафе,cafe,"ежедневно, 11:00–23:00"
57,55.660523,37.511255,Баскетбольное Шоу,17917506598,"Россия, Москва, улица Обручева, 6, корп. 3",attraction,Развлекательный центр,entertainment,"ежедневно, круглосуточно"
58,55.651159,37.744785,Магазин,1167583199,"Россия, Москва, Люблинская улица, 163/1",malls,Торговый центр,malls,пн-сб 10:00–21:00; вс 10:00–20:00
59,55.725336,37.625576,Yana colorbeauty,23583075886,"Россия, Москва, Большая Серпуховская улица, 32, стр. 1",hairdressers,Парикмахерская,beauty,"ежедневно, 10:00–21:00"
60,55.70356,37.511055,Хлеб Насущный,178323776028,"Россия, Москва, Мичуринский проспект, 5",confectionary,"Булочная, пекарня",cafe,"пн-пт 07:00–22:00; сб,вс 08:00–22:00"
61,55.672934,37.746956,Темп-досуг,1005349035,"Россия, Москва, улица Судакова, 11с2",malls,Торговый центр,malls,пн-пт 10:00–20:00; сб 10:00–19:00; вс 11:00–18:00
62,55.731192,37.621301,Space Owl,177291462902,"Россия, Москва, улица Большая Полянка, 54",restaurants,Ресторан,cafe,"ежедневно, 12:00–23:00"
63,55.716493,37.6459,SaharaSkyStudio,58438095002,"Россия, Москва, Павелецкая набережная, 2, стр. 4",fallback services,Аренда фотостудий,services,"ежедневно, круглосуточно"
64,55.686723,37.572994,Шоколадница,194464335292,"Россия, Москва, улица Дмитрия Ульянова, 24/1",cafe,Кофейня,cafe,"ежедневно, 08:00–23:00"
65,55.726697,37.527696,Fit-n-Go,217913583815,"Россия, Москва, улица Пудовкина, 7",fitness,Фитнес-клуб,sport,"ежедневно, 09:00–22:00"
66,55.707831,37.583482,Буркина фасоль,108617757282,"Россия, Москва, Ленинский проспект, 39/1",cafe,Кафе,cafe,"ежедневно, 08:00–23:00"
67,55.741411,37.532088,MedEx,224824146588,"Россия, Москва, Кутузовский проспект, 32, корп. 1",medicine,"Медцентр, клиника",medicine,пн-пт 08:00–20:00; сб 09:00–15:45
68,55.744696,37.624876,Кулинарная лавка братьев Караваевых,9243908728,"Россия, Москва, улица Большая Ордынка, 7, стр. 1",cafe,Кафе,cafe,"ежедневно, 08:00–23:00"
69,55.736375,37.622775,Correas,1336007402,"Россия, Москва, улица Большая Ордынка, 40, стр. 2",restaurants,Ресторан,cafe,"пн-пт 08:00–23:00; сб,вс 09:00–23:00"
70,55.745524,37.559866,Girl Boss,120652458842,"Россия, Москва, Брянская улица, 32, стр. 9",spa,Салон красоты,beauty,"ежедневно, 10:00–22:00"
71,55.733481,37.62327,Гармония,1229923455,"Россия, Москва, Щетининский переулок, 9с1",medicine,"Медцентр, клиника",medicine,"ежедневно, 10:00–22:00"
72,55.680184,37.632961,Beauty pro,20353311143,"Россия, Москва, Нагатинская улица, 4, корп. 3",spa,Косметология,beauty,"ежедневно, 10:00–22:00"
73,55.713753,37.750706,Torsher,1397215763,"Россия, Москва, улица Васильцовский Стан, 5, корп. 1",cafe,Кафе,cafe,"ежедневно, 11:00–23:00"
